Class,Tab,Type,Name,ID,Description,RequiredLevel,RequiredClassAEInvestment,RequiredTabAEInvestment,RequiredClassPoints,RequiredAEInvestment,RequiredClassTEInvestment,RequiredTabTEInvestment,RequiredTEInvestment
General,General1,Ability,"Malignant Jinx",280055,"This spell belongs to Witch Doctor    Curse an enemy for 8 sec, causing their next spell cast to silence them for 5 seconds.",22,0,0,0,0,0,0,0
General,General1,Ability,"Mirage",280451,"This spell belongs to Witch Doctor    Become invisible for 20 sec, leaving a copy of yourself behind, teleporting forward, and reducing threat each second. Direct damage or healing done will end this effect.    While invisible, you can only see other invisible targets and those who can see invisible.    You may reactivate this ability within 5 sec to return to your initial location.",10,0,0,0,0,0,0,0
General,General1,Ability,"Moonlit Slumber",280000,"This spell belongs to Starcaller    Put an enemy to sleep for 30 sec. (10 seconds on players). Damage dealt will end the effect.",20,0,0,0,0,0,0,0
General,General1,Ability,"Primal Totem",280315,"This spell belongs to Primalist    Summon a totem that increases all stats of party and raid members by 1 within 40 yds for 30 sec.",30,0,0,0,0,0,0,0
General,General1,Ability,"Rocket Boots",280030,"This spell belongs to Tinker    3 Charges, 30 sec recharge  Activate your Rocket Boots launching you forwards.",10,0,0,0,0,0,0,0
General,General1,Ability,"Roll Back",280115,"This spell belongs to Chronomancer    Roll back time, dispelling the last harmful effect placed on an ally.    Subsequent uses increases the mana cost of this ability by 50% for 5 sec.",18,0,0,0,0,0,0,0
General,General1,Ability,"Sever",280230,"This spell belongs to Reaper    Attempt to drain an enemy's vitals, leeching 30 health, interrupting casting and preventing any spell from that school from being cast for 3 sec.",16,0,0,0,0,0,0,0
General,General1,Ability,"Slither",280800,"This spell belongs to Witch Doctor    Transform into a serpent, removing all movement impairing effects and increasing movement speed by 80% for 5 sec.  You cannot attack or cast spells, but chance to be hit by ranged attacks and spells is reduced by 100% for the duration.",29,0,0,0,0,0,0,0
General,General1,Ability,"Spartan Kick",282273,"A mighty kick that knocks your target back and deals 13 physical damage.    THIS IS SPARTA!",12,0,0,0,0,0,0,0
General,General1,Ability,"Spirit Charge",281220,"This spell belongs to Primalist    Charge to an ally's aid, healing them for 53 and dealing 67 Nature damage to enemies within 5 yds of them.",10,0,0,0,0,0,0,0
General,General1,Ability,"Spite",281250,"This spell belongs to Barbarian    Quickly unleash 3 ranged attacks at your target and then fling yourself back a great distance, dealing 125% Ranged Weapon Damage.",20,0,0,0,0,0,0,0
General,General1,Ability,"Sun Gate",280155,"This spell belongs to Sun Cleric    Shift 25 yds forward at light speed, removing all root effects.    This leaves behind a Sun Gate for 15 sec that allies can interact with to blink themselves the same distance forward. Allies can only use |CffffffffSun Gate|r every 1.50 min.",10,0,0,0,0,0,0,0
General,General1,Ability,"The Eye of the Storm",280280,"This spell belongs to Stormbringer    Mark an enemy for 4 sec. Every 1 sec, enemies near them take 21 Nature damage.    At the end of the duration, enemies near them also take 70 Nature damage and are rooted for 4 sec.",10,0,0,0,0,0,0,0
General,General1,Ability,"Tranquil Circle",280275,"This spell belongs to Templar    Place a holy circle on the ground at the target location for 4 sec, slowing enemy movement speed within by 70%.    Every 2 sec, enemies within the radius enter a tranquil state, falling asleep for 40 sec.",10,0,0,0,0,0,0,0
General,General1,Ability,"Veilwalk",280340,"This spell belongs to Reaper    2 Charges, 60 sec recharge  Move with spectral agility, gaining 50% increased movement speed for 5 sec.    Removes all movement impairing effects. Usable while stealthed.",10,0,0,0,0,0,0,0
General,General1,Ability,"Wind Gate",280125,"This spell belongs to Stormbringer    Place a Wind Gate at target location for 1 min.     You may cast Wind Gate: Evacuate on an ally to pull them to your Wind Gate.",10,0,0,0,0,0,0,0
General,General1,Talent,"Absolute Hellfire",284789,"Dealing damage with Flamestrike and Meteor marks the target for 3 sec.    Each tick of Rain of Fire triggers additional 1 Fire damage on the marked targets.    This uses Rain of Fire modifiers",20,0,0,0,0,0,0,0
General,General1,Talent,"Alembic",283521,"Being hit by a melee or ranged attack now has a 5% chance to grant you 20% of your base mana.    This effect can only occur once every 10 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"An Honest Mistake",284374,"Missing with a spell now increases your hit chance by 5% and spell haste by 5% for 10 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Arcane Reprisal",299986,"Dealing damage with Arcane Barrage reduces the cooldowns of Crusader Strike and Divine Storm by 3 seconds.",40,0,0,0,0,0,0,0
General,General1,Talent,"Archmage",271707,"Increases the chance to trigger Missile Barrage and Brain Freeze by an additional 10%.",20,0,0,0,0,0,0,0
General,General1,Talent,"Arugal's Blink",285930,"Casting Blink unleashes a wave of Shadow Bolts at your arrival point, dealing 65 Shadow damage to nearby enemies.",20,0,0,0,0,0,0,0
General,General1,Talent,"Astral Fusion",274987,"Dealing damage with Starfire or Wrath grants Astral Fusion.    Astral Fusion Reduces the cast time of your next Starsurge by 34% and increases its damage by 15%. Stacks up to 3 times. Lasts 8 sec.  Reaching 3 stacks resets the cooldown of Starsurge.",28,0,0,0,0,0,0,0
General,General1,Talent,"Astral Realm",271625,"Dealing damage with Thunderstorm restores an additional 10% of your maximum mana.    If a target player is afflicted by your Unrelenting Storm when damaged by Thunderstorm, you and your target are forced into an alternate dimension for 8 seconds, reducing the target's damage and healing by 20%.",40,0,0,0,0,0,0,0
General,General1,Talent,"Battle Glaive",277555,"Using 3 Warrior direct damaging abilities in quick succession resets the cooldown of Glaive Toss and increases the damage of your next Glaive Toss by 40%. Lasts 10 sec.  Does not work with 'on next swing' abilities.",14,0,0,0,0,0,0,0
General,General1,Talent,"Biting Drain",275969,"Grants the periodic damage from your Drain Life and Drain Soul spells the ability to critically hit.    Critical strike damage bonus of your Drain Life and Drain Soul is increased by 35%.",10,0,0,0,0,0,0,0
General,General1,Talent,"Blaze Ward",283534,"Taking direct damage or avoiding attacks has a chance to activate Blaze Aura.    Blaze Aura Ignites the area surrounds you, causing 5 Fire damage to all nearby enemies every 1 sec. Lasts 5 sec. Causes a high amount of threat.",10,0,0,0,0,0,0,0
General,General1,Talent,"Blaze",281749,"Your Fire Blast spreads your Immolate to enemies within 10 yards. The spread Immolate cannot critically strike.",10,0,0,0,0,0,0,0
General,General1,Talent,"Blessing of the Divines",273020,"Your direct Holy and Nature heals now have a 10% chance to trigger a random blessing.    This effect can only occur once every 1 sec and can only trigger from heals with a resource cost.    Blessing of the Titan Increases the target's Health by 5% and reduces damage taken by 5% for 8 sec.    Blessing of Creation Grants 12 mana, 22 energy, and 10 rage to you and your party.    Blessing of Time Increases you and your target's spell haste by 10% for 10 sec.    Blessing of Mending Heals party members within 30 yards of you -39.    Blessing of the Divines Heals party members within 30 yards of you for -30 every 3 seconds for 15 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Bloodstained Recklessness",282105,"Killing an enemy during Recklessness extends its duration by 3 seconds.    This effect can only occur once every 1 sec.",14,0,0,0,0,0,0,0
General,General1,Talent,"Bloody Business",277162,"Casting Mangle 3 times within 5 sec, spreads your Pounce to up to 7 nearby targets.",36,0,0,0,0,0,0,0
General,General1,Talent,"Bloody Claws",273705,"Claw costs 12 less energy and gains additional damage equal to 20% of your attack power.",10,0,0,0,0,0,0,0
General,General1,Talent,"Boomer",281369,"Direct damage Fire spells have a chance to cause an explosion around you, dealing -15 and increase your spell critical strike chance by 3% for 5 sec.    This effect can only occur once every 8 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Brilliance of Faith",278510,"Divine Favor now empowers the cast and further empowers 2 casts of the spell that consumed it.  Holy Shock - Has no cooldown and has its global cooldown reduced by 33%.  Flash of Light - Heals up to 3 targets.  Holy Light - Heals for 30% more.",30,0,0,0,0,0,0,0
General,General1,Talent,"Cat-a-clysmic Entrance",274352,"Casting Searing Pain now grants you Cat-a-Clysmic Entrance for 10 sec. While at 5 stacks your next Cat Form shapeshift has no global cooldown and unleashes Cat-a-clysm.    Cat-a-clysm Deals 41 Fire damage to 6 enemies within 8 yards, increasing your Fire damage dealt to them by 20% for 10 sec.",16,0,0,0,0,0,0,0
General,General1,Talent,"Cataclysmic Sundering",277180,"Sundering leaves a burning patch on the ground for 8 sec. Dealing 118 Fire damage to enemies every second and increasing the damage of your Flame shock by 50%.",34,0,0,0,0,0,0,0
General,General1,Talent,"Celestial Fury",285537,"Critical strikes with Wrath while Nature's Grace is active grant you Celestial Fury.   Celestial Fury Your next direct Arcane spell deals 5, increased by 20% per stack, additional Arcane damage to nearby enemies. Stacks up to 10 times and lasts 15 sec.",20,0,0,0,0,0,0,0
General,General1,Talent,"Celestial Replenishment",275263,"Triggering an Eclipse now restores 16% of your missing mana.",30,0,0,0,0,0,0,0
General,General1,Talent,"Charged Tides",285240,"Casting Lightning Bolt, Chain Lightning or triggering Lightning Rod grants you Charged Tides.      Charged Tides Your next Chain Heal or Healing Wave deals 10% increased healing and has a 25% reduced cast time. Stacks up to 4 times and lasts 12 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Clarity of the Mind",285561,"Your Omen of Clarity talent has an additional 4% chance to activate.",20,0,0,0,0,0,0,0
General,General1,Talent,"Clean Pass",277485,"Your Glaive Toss consumes your Piercing Shots bleed to deal its full damage increased by 100%.",30,0,0,0,0,0,0,0
General,General1,Talent,"Cleanse In Flames",281573,"Exorcism, Judgement, Hammer of Wrath and Holy Shock deal 10% increased damage to targets afflicted by your Holy Fire.",20,0,0,0,0,0,0,0
General,General1,Talent,"Coldshot",277525,"Hunter shots reduce the cast time of your next Ray of Frost by 15%. Stacks up to 5 times and lasts 30 sec.",60,0,0,0,0,0,0,0
General,General1,Talent,"Collective Conscious",282029,"Your Tranquility also restores 15% base mana when it heals.",20,0,0,0,0,0,0,0
General,General1,Talent,"Combat Medic",283949,"Your Bandage now grows more effective with each heal, increasing the healing your ally receives from Bandage by 10%, stacks up to 8 times.",10,0,0,0,0,0,0,0
General,General1,Talent,"Consecrated Zeal",283251,"Dealing damage with Consecration grants you a stack of Consecrated Zeal.    Consecrated Zeal Increases holy damage done by 1% and reduces physical damage taken by 1%. Stacks up to 3 times and lasts 3 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Consuming Flames",282113,"Increases the potency of your Ignite talent by an additional 15%, but your Fire critical strikes deal 5% less damage.",15,0,0,0,0,0,0,0
General,General1,Talent,"Corrupting Shadows",283090,"Your Shadowburn applies Corruption to the target.",22,0,0,0,0,0,0,0
General,General1,Talent,"Covering Crown",284006,"Requires  Path of Healing  Casting Rejuvenation now grants your target Covering Crown.    Covering Crown Reduces the damage taken from area of effect attacks by 30% for 3 sec. This does not stack with other similar effects.",10,0,0,0,0,0,0,0
General,General1,Talent,"Creeping Frost",285207,"Your Deep Freeze now spawns creeping frost beneath the target that grows in size every second and reduces enemy movement speed by 40%.",40,0,0,0,0,0,0,0
General,General1,Talent,"Cursed Arrows",281681,"Ranged auto attacks have a 10% chance to curse the target, when that target dies it summons a skeletal guardian to fight for you.",10,0,0,0,0,0,0,0
General,General1,Talent,"Dark Arrows",276808,"Dealing damage with Shadow Bolt or Seed of Corruption now grants you Dark Arrows.    Dark Arrows Your next 5 Auto Shots fire a Dark Arrow dealing 100% ranged weapon damage as Shadow and restoring 2% of your maximum mana. Lasts 15 seconds.",10,0,0,0,0,0,0,0
General,General1,Talent,"Dark Intent",275493,"Dealing damage with Sinister Strike, Eviscerate, Garrote, Rupture, Crimson Tempest, Shiv, Ambush and Gloomblade now deals 10 additional Shadow damage.  If the ability critically strikes, the additional Shadow damage is also a critical hit.",10,0,0,0,0,0,0,0
General,General1,Talent,"Dark Reclamation",281471,"Dealing damage with Drain Soul or casting Life Tap grants you Dark Reclamation.      Dark Reclamation Reduces the cooldown of your next Shadowburn by 1 seconds.   Stacks up to 10 times and lasts 10 sec.",22,0,0,0,0,0,0,0
General,General1,Talent,"Deathbringer",273088,"Dealing damage with single-target spells and abilities deals an additional 7 Shadow damage.    This effect can only occur once every 3 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Demonic Burst",283465,"Your Demonic Leap now sends out a Blast Wave, dealing 6 Fire damage, knocking enemies back, and granting you Bursting Power.    Bursting Power Increases your damage done by 5%. Lasts 3 sec.",30,0,0,0,0,0,0,0
General,General1,Talent,"Desperation",282063,"Bloodthirst now deals an additional strike dealing up to 33% damage based on your missing health.",30,0,0,0,0,0,0,0
General,General1,Talent,"Destructive Bargain",277185,"Each cast of Incinerate or Soul Fire empowers your Incinerate, Soul Fire and Beam of Hatred:   - Increasing the damage dealt against monsters by 5%   - Reducing the casting speed by 3%   - Reducing the global cooldown by 5%   - Increasing the mana cost by 70%    These effects stack up to 5 times and last 9 sec.",28,0,0,0,0,0,0,0
General,General1,Talent,"Doppelganger",284943,"Your Vanish now spawns a Doppelganger that looks like you and runs in a random direction, taking the hits so you can get away. Lasts 4 sec.",22,0,0,0,0,0,0,0
General,General1,Talent,"Double-clawed",273703,"Increases the periodic damage of Rip and Rake by 60% and their duration by 3 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Draining Strikes",273092,"Dealing damage with single target spells and abilities heals you for 3.    This effect can only occur once every 3 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Duck Hunting",281358,"Your damaging abilities and Auto Shots against enemies 5 yards above you now dispel Slow Fall and deal an additional strike for 3% of the original damage.",10,0,0,0,0,0,0,0
General,General1,Talent,"Duelist",281341,"Using Taunt on a player now plants a dueling flag at their location, reducing their movement speed by 30% for 6 sec if they flee the area.",10,0,0,0,0,0,0,0
General,General1,Talent,"Echoed Incinerate",281744,"Casting Incinerate has a 30% chance to trigger Echoed Incinerate.       Echoed Incinerate Deals -13 Fire damage to your target and an additional 25 to 29 Fire damage if the target is affected by an Immolate spell.    Scales with Incinerate modifiers.",28,0,0,0,0,0,0,0
General,General1,Talent,"Echoing Power",285510,"Your Shaman Shock spells grant you a boon:    Earth Shock: Reduces your Physical damage taken by 4% and increases threat generated from Nature sources by 8%.    Frost Shock: Reduces the target's attack power by 2, reduces your damage taken by 2%, and increases threat generated from Frost sources by 8%.    Flame Shock: Grants you a shield that deals Fire damage to melee attackers, reduces your magic damage taken by 3%, and increases threat generated from Fire sources by 8%.    Attack power reduction does not stack with similar effects.",10,0,0,0,0,0,0,0
General,General1,Talent,"Electrified Grasp",273059,"The electrified area left behind by your Stormbringer now slows enemies inside it by 25%.",10,0,0,0,0,0,0,0
General,General1,Talent,"Elemental Energy",285298,"Your Earth Shock, Flame Shock and Frost Shock now grant 20 energy.",10,0,0,0,0,0,0,0
General,General1,Talent,"Energized Judgement",285289,"While below 40 energy you gain Energized Judgements.    Energized Judgement Increases the damage of your Judgements by 75%.    Judgements deal 25% increased damage against players.",10,0,0,0,0,0,0,0
General,General1,Talent,"Energizing Prayer",283175,"When Desperate Prayer restores you to full health, it also replenishes 25% of your total mana.",20,0,0,0,0,0,0,0
General,General1,Talent,"Envenomed",281612,"Deal 10% additional damage with Rogue poisons to bleeding targets.",20,0,0,0,0,0,0,0
General,General1,Talent,"Erupting Void",284064,"Triggering your Backlash talent now rips a hole in the void, knocking back nearby enemies and slowing them by 50% for 4 sec. Backlash cooldown is increased by 100%.",22,0,0,0,0,0,0,0
General,General1,Talent,"Explosive Entrance",285076,"Casting Blink now unleashes an explosion at your arrival point, dealing 111 Fire damage to nearby enemies and resets the cooldown of your Blast Wave.",20,0,0,0,0,0,0,0
General,General1,Talent,"Faith Rekindled",283700,"Each time your Renew heals a target they receive Faith.    Faith All healing received increased by 1% and healing received from your Renew increased by 5%. Stacks up to 5 times. Lasts 4 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Fatal Vanguard",277990,"Increases the critical strike chance and critical strike damage bonus of Execute by 35%.    Critically striking with Execute reduces the cooldown of Concussion Blow by 2 seconds.",24,0,0,0,0,0,0,0
General,General1,Talent,"Favour of the Soulflayer",275865,"Using Hunger for Blood now consumes Bathe in Blood to trigger Favour of the Soulflayer.      Favour of the Soulflayer Causes Physical damage to all nearby enemies within 8 yards, increased by consuming your Bathe in Blood stacks.     Increases your Physical critical damage bonus by 30% and Crimson Tempest now benefits from haste and has the ability to critically hit. Lasts 10 sec.",30,0,0,0,0,0,0,0
General,General1,Talent,"Fiery Bash",284690,"Dealing damage with Shield Slam, Shield of Righteousness or Interrupting an enemy with Shield Bash now unleashes a Fiery Bash.      Fiery Bash Deals 6 Fire damage to the target and 2 nearby enemies. Causes them to burn for 2 Fire damage every second and increases your fire damage dealt to them by 10% for 4 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Fired Up",283634,"Dealing direct Fire damage now has a 12% chance to cause your next Fire spell or ability to be a guaranteed critical strike.",10,0,0,0,0,0,0,0
General,General1,Talent,"Flame Nova",278040,"Fire Nova now explodes from up to 4 targets affected by your Flame Shock, but the additional explosions deal 50% less damage.",12,0,0,0,0,0,0,0
General,General1,Talent,"Flashpoint",271126,"Dealing damage with Explosive Shot increases the critical strike chance of your next Pyroblast by 8%. Stacks up to 6. Lasts 20 seconds.",20,0,0,0,0,0,0,0
General,General1,Talent,"Fleeting Shadow",281687,"Using Garrote, Cheap Shot or Ambush from Stealth allows you to use Ambush outside of stealth for 2.5 sec.",18,0,0,0,0,0,0,0
General,General1,Talent,"Frozen Munitions",277499,"Hunter attacks grant you a stack of Frozen Munitions. Stacks up to 3 times and lasts 20 sec.      Frozen Munitions Consumes up to 3 stacks to empower your next Frozen Orb, Frostbolt or Ice Lance. Consuming additional stacks increases the effect.    Frozen Orb - Direct damage increased by 20%.    Frostbolt - 34% reduced cast time, and 50% increased damage against monsters.    Ice Lance - Deals 50% increased damage, and its global cooldown is reduced to 1 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Fury of the Wind",285749,"Your Windfury attacks now unleash furious winds, dealing 40% weapon damage to 5 nearby enemies.",30,0,0,0,0,0,0,0
General,General1,Talent,"Glacial Light",285865,"Dealing Holy or Frost damage against enemies burning from your Holy Fire now reduces the cooldown of Icy Veins by 7 second.",20,0,0,0,0,0,0,0
General,General1,Talent,"Goldrinn's Guile",275743,"Your finishing moves now have a 5% chance per combo point to grant you Goldrinn's Guile, increased to 20% chance per combo point if you are in Worgen Form.      Goldrinn's Guile Your next Mind Blast or Vampiric Touch is instant, has 40% increased damage, and grants 2 combo points. Lasts for 8 sec.",10,0,0,0,0,0,0,0
General,General1,Talent,"Goremaw's Bite",277924,"Damaging rogue finishing moves have a 3% chance per combo point consumed to trigger Goremaw's Bite.      Goremaw's Bite Your next damaging Rogue finishing move causes Goremaw to lash out, dealing 57 Shadow damage and generating 5 combo points.",10,0,0,0,0,0,0,0
General,General1,Talent,"Grasping Curse",283238,"Your Shadow Bolt damage now applies Grasping Curse.    This effect can only occur once every 5 sec.    Grasping Curse Reduces the target's movement speed by 35% for 5 sec.    This uses Curse of Exhaustion modifiers.",10,0,0,0,0,0,0,0
General,General1,Talent,"Guardians of the Grove",270495,"Your Treants heal allies below 90% health using all of your known Druid healing spells, except Tranquility. Treants no longer deal damage and have 66% reduced health.  In battlegrounds or arenas, Treants only use instant-cast Druid healing spells.",36,0,0,0,0,0,0,0
General,General1,Talent,"Hammerdin",282983,"Damaging Paladin damaging abilities have a 20% chance to summon a Hammer from the Heavens and reduce the cooldown of Hour of Judgement by 4 seconds.    Hammer from the Heavens A Holy hammer falls from the heavens, dealing 17 to -19 Holy damage to nearby enemies.",10,0,0,0,0,0,0,0
General,General1,Talent,"Hastened Feint",282231,"Reduces the cooldown of your Feint ability by 4 seconds.",16,0,0,0,0,0,0,0
General,General1,Talent,"Heat Burst",270424,"Dealing Magic damage against enemies affected by your Conflagrate now deals an additional 66 Fire damage.  This effect can only occur once every 1 sec.",30,0,0,0,0,0,0,0
General,General1,Talent,"Hellish Pursuit",285100,"Dealing damage with Hellfire reduces the cooldown of Burning Rush by 1.5 seconds.",40,0,0,0,0,0,0,0
General,General1,Talent,"High Winds",283355,"When your Cyclone ends, the target's damage and healing are reduced by 20% for 4 sec.",50,0,0,0,0,0,0,0
General,General1,Talent,"Holy Chains",283927,"Your Holy Fire now shackles the target with heavy chains, reducing their movement speed by 70% for 3 sec.",20,0,0,0,0,0,0,0
General,General1,Talent,"Holy Hammer Nova",285739,"Casting Holy Nova now reduces the active cooldown of Light's Hammer by 2 seconds.",36,0,0,0,0,0,0,0
General,General1,Talent,"Holy Surge",283366,"Holy Shock deals 50% increased damage against monsters.    Dealing damage with Holy Shock grants you Surge of Light.    This effect can only occur once every 6 sec.    Surge of Light Your next Smite or Flash Heal is instant and costs no mana. It cannot critically hit. Lasts 10 sec.",30,0,0,0,0,0,0,0
General,General1,Talent,"Howl of Winter",274125,"Cone of Cold now grants you Howl of Winter.    Howl of Winter Increases the damage of your next Deep Freeze by 35%. Stacks up to 4 times and lasts 15 sec.",40,0,0,0,0,0,0,0
General,General1,Talent,"I Have The High Ground",281319,"Deal an additional strike for 3% original damage when you have the high ground, being 5 yards above your target.",10,0,0,0,0,0,0,0
General,General1,Talent,"Icebound Ancestry",289275,"Your attacks ignore Armor against Frozen targets.",10,0,0,0,0,0,0,0
General,General1,Talent,"Indomitable",282182,"Unlocked by  Tactical Mastery (Rank 3)  While Stagger is active your healing taken is increased by 10%.    Does not stack with other similar effects.",15,0,0,0,0,0,0,0
General,General1,Talent,"Inescapable Roots",284057,"Your Entangling Roots become inescapable, preventing enemies from breaking free during the first half of their duration, but are now more susceptible to breaking from damage.",10,0,0,0,0,0,0,0
General,General1,Talent,"Inevitable Decimation",277160,"Casting Incinerate or Chaos Bolt 3 times within 5 sec reduces the cast time and global cooldown of your Soul Fire by 50%. Lasts 8 sec. Does not stack with Decimation.",26,0,0,0,0,0,0,0
General,General1,Talent,"Inferno",284833,"Enemies hit by your Hellfire now have a chance to trigger an additional Hellfire explosion.",30,0,0,0,0,0,0,0
General,General1,Talent,"Inner Hunt",277505,"Non-hunter melee abilities grant Inner Hunt.    This effect can only occur once every 8 sec and only from abilities that trigger the global cooldown.    Inner Hunt Your next Mongoose Bite and Counterattack deals 60% increased damage, ignores 60% of the target's armor and does not trigger its cooldown. Lasts for 15 sec.    Mongoose Bite and Counterattacks damage is increased by 25% versus players.",10,0,0,0,0,0,0,0
